id,text,aspect,aspect_term,sentiment
9653,Price is reasonable,price,price,positive
9654,Price is too high,price,price,negative
9655,Price is reasonable,price,price,positive
9656,Delivery was fast,delivery,delivery,positive
9657,Delivery was fast,delivery,delivery,positive
9658,Performance is smooth,performance,performance,positive
9659,Price is too high,price,price,negative
9660,Battery life is excellent,battery,battery,positive
9661,Performance is smooth,performance,performance,positive
9662,Camera is disappointing,camera,camera,negative
9663,Design looks premium,design,design,positive
9664,Price is too high,price,price,negative
9665,The service was quick,service,service,positive
9666,Performance is laggy,performance,performance,negative
9667,Battery drains quickly,battery,battery,positive
9668,The service was quick,service,service,positive
9669,Price is too high,price,price,negative
9670,Design looks premium,design,design,positive
9671,The service was slow,service,service,negative
9672,Battery life is excellent,battery,battery,positive
9673,Performance is laggy,performance,performance,negative
9674,Battery life is excellent,battery,battery,positive
9675,The service was quick,service,service,positive
9676,The food was terrible,food,food,negative
9677,Performance is laggy,performance,performance,negative
9678,Price is reasonable,price,price,positive
9679,Camera is disappointing,camera,camera,negative
9680,Performance is laggy,performance,performance,negative
9681,The food was terrible,food,food,negative
9682,Performance is laggy,performance,performance,negative
9683,Camera is disappointing,camera,camera,negative
9684,The food was terrible,food,food,negative
9685,Delivery was late,delivery,delivery,negative
9686,Delivery was fast,delivery,delivery,positive
9687,Performance is laggy,performance,performance,negative
9688,Price is too high,price,price,negative
9689,Design feels cheap,design,design,negative
9690,Price is too high,price,price,negative
9691,Delivery was fast,delivery,delivery,positive
9692,Design feels cheap,design,design,negative
9693,Price is too high,price,price,negative
9694,Price is reasonable,price,price,positive
9695,Delivery was fast,delivery,delivery,positive
9696,Performance is smooth,performance,performance,positive
9697,Performance is laggy,performance,performance,negative
9698,Delivery was late,delivery,delivery,negative
9699,Battery drains quickly,battery,battery,positive
9700,Camera quality is great,camera,camera,positive
9701,Price is reasonable,price,price,positive
9702,Delivery was fast,delivery,delivery,positive
9703,Design looks premium,design,design,positive
9704,Delivery was late,delivery,delivery,negative
9705,The service was quick,service,service,positive
9706,Delivery was late,delivery,delivery,negative
9707,The service was quick,service,service,positive
9708,The service was quick,service,service,positive
9709,Performance is laggy,performance,performance,negative
9710,Price is too high,price,price,negative
9711,Design looks premium,design,design,positive
9712,Price is reasonable,price,price,positive
9713,Design looks premium,design,design,positive
9714,Battery drains quickly,battery,battery,positive
9715,Camera quality is great,camera,camera,positive
9716,Camera is disappointing,camera,camera,negative
9717,The service was quick,service,service,positive
9718,Camera quality is great,camera,camera,positive
9719,Design looks premium,design,design,positive
9720,Price is reasonable,price,price,positive
9721,Price is too high,price,price,negative
9722,Price is too high,price,price,negative
9723,The food was terrible,food,food,negative
9724,The food was terrible,food,food,negative
9725,Delivery was fast,delivery,delivery,positive
9726,Performance is laggy,performance,performance,negative
9727,Design looks premium,design,design,positive
9728,The service was quick,service,service,positive
9729,Delivery was late,delivery,delivery,negative
9730,Camera is disappointing,camera,camera,negative
9731,Battery life is excellent,battery,battery,positive
9732,Design looks premium,design,design,positive
9733,Performance is laggy,performance,performance,negative
9734,Design feels cheap,design,design,negative
9735,Battery life is excellent,battery,battery,positive
9736,Battery life is excellent,battery,battery,positive
9737,Camera quality is great,camera,camera,positive
9738,Camera is disappointing,camera,camera,negative
9739,Battery drains quickly,battery,battery,positive
9740,Battery drains quickly,battery,battery,positive
9741,Battery drains quickly,battery,battery,positive
9742,Delivery was late,delivery,delivery,negative
9743,Camera is disappointing,camera,camera,negative
9744,Battery life is excellent,battery,battery,positive
9745,Delivery was fast,delivery,delivery,positive
9746,The food was terrible,food,food,negative
9747,The food was terrible,food,food,negative
9748,The service was slow,service,service,negative
9749,Delivery was fast,delivery,delivery,positive
9750,Price is too high,price,price,negative
9751,The food was terrible,food,food,negative
9752,Camera quality is great,camera,camera,positive
9753,The service was slow,service,service,negative
9754,Price is reasonable,price,price,positive
9755,Performance is smooth,performance,performance,positive
9756,The service was slow,service,service,negative
9757,Performance is smooth,performance,performance,positive
9758,Design looks premium,design,design,positive
9759,Design looks premium,design,design,positive
9760,Price is reasonable,price,price,positive
9761,Delivery was late,delivery,delivery,negative
9762,The service was slow,service,service,negative
9763,Performance is smooth,performance,performance,positive
9764,The food was terrible,food,food,negative
9765,Delivery was late,delivery,delivery,negative
9766,Design looks premium,design,design,positive
9767,Delivery was late,delivery,delivery,negative
9768,Delivery was fast,delivery,delivery,positive
9769,The food was delicious,food,food,positive
9770,The food was delicious,food,food,positive
9771,The food was terrible,food,food,negative
9772,Battery drains quickly,battery,battery,positive
9773,Delivery was fast,delivery,delivery,positive
9774,Delivery was fast,delivery,delivery,positive
9775,The food was delicious,food,food,positive
9776,Price is reasonable,price,price,positive
9777,Camera is disappointing,camera,camera,negative
9778,Battery life is excellent,battery,battery,positive
9779,Price is reasonable,price,price,positive
9780,Price is reasonable,price,price,positive
9781,The food was delicious,food,food,positive
9782,The food was delicious,food,food,positive
9783,Camera is disappointing,camera,camera,negative
9784,Design looks premium,design,design,positive
9785,The service was slow,service,service,negative
9786,The food was delicious,food,food,positive
9787,Price is reasonable,price,price,positive
9788,The service was slow,service,service,negative
9789,The service was slow,service,service,negative
9790,The food was terrible,food,food,negative
9791,Performance is smooth,performance,performance,positive
9792,The food was terrible,food,food,negative
9793,Performance is smooth,performance,performance,positive
9794,Camera is disappointing,camera,camera,negative
9795,The food was delicious,food,food,positive
9796,Price is too high,price,price,negative
9797,Battery life is excellent,battery,battery,positive
9798,Delivery was late,delivery,delivery,negative
9799,The service was quick,service,service,positive
9800,The service was slow,service,service,negative
9801,Camera quality is great,camera,camera,positive
9802,Delivery was fast,delivery,delivery,positive
9803,Delivery was late,delivery,delivery,negative
9804,Delivery was fast,delivery,delivery,positive
9805,Delivery was late,delivery,delivery,negative
9806,Delivery was fast,delivery,delivery,positive
9807,Price is reasonable,price,price,positive
9808,Delivery was fast,delivery,delivery,positive
9809,Battery drains quickly,battery,battery,positive
9810,Camera is disappointing,camera,camera,negative
9811,Battery life is excellent,battery,battery,positive
9812,The food was terrible,food,food,negative
9813,The service was quick,service,service,positive
9814,Design looks premium,design,design,positive
9815,Design looks premium,design,design,positive
9816,Camera quality is great,camera,camera,positive
9817,The service was quick,service,service,positive
9818,Price is reasonable,price,price,positive
9819,The service was quick,service,service,positive
9820,Price is reasonable,price,price,positive
9821,Performance is smooth,performance,performance,positive
9822,The food was delicious,food,food,positive
9823,Design looks premium,design,design,positive
9824,Performance is laggy,performance,performance,negative
9825,Price is reasonable,price,price,positive
9826,The food was terrible,food,food,negative
9827,Performance is smooth,performance,performance,positive
9828,Delivery was fast,delivery,delivery,positive
9829,Camera is disappointing,camera,camera,negative
9830,Delivery was late,delivery,delivery,negative
9831,Price is reasonable,price,price,positive
9832,Battery drains quickly,battery,battery,positive
9833,Performance is laggy,performance,performance,negative
9834,Battery life is excellent,battery,battery,positive
9835,Battery life is excellent,battery,battery,positive
9836,Performance is laggy,performance,performance,negative
9837,Design looks premium,design,design,positive
9838,Performance is laggy,performance,performance,negative
9839,Design looks premium,design,design,positive
9840,The service was quick,service,service,positive
9841,Camera is disappointing,camera,camera,negative
9842,The service was slow,service,service,negative
9843,Performance is smooth,performance,performance,positive
9844,Camera is disappointing,camera,camera,negative
9845,Performance is laggy,performance,performance,negative
9846,The service was slow,service,service,negative
9847,Battery drains quickly,battery,battery,positive
9848,Camera is disappointing,camera,camera,negative
9849,Price is too high,price,price,negative
9850,Delivery was late,delivery,delivery,negative
9851,The service was slow,service,service,negative
9852,Battery life is excellent,battery,battery,positive
9853,Performance is smooth,performance,performance,positive
9854,Delivery was fast,delivery,delivery,positive
9855,Camera is disappointing,camera,camera,negative
9856,Battery drains quickly,battery,battery,positive
9857,The food was delicious,food,food,positive
9858,Design looks premium,design,design,positive
9859,Camera quality is great,camera,camera,positive
9860,The service was quick,service,service,positive
9861,Performance is smooth,performance,performance,positive
9862,Performance is laggy,performance,performance,negative
9863,The food was terrible,food,food,negative
9864,Battery life is excellent,battery,battery,positive
9865,Performance is smooth,performance,performance,positive
9866,Price is too high,price,price,negative
9867,Performance is smooth,performance,performance,positive
9868,The service was slow,service,service,negative
9869,The service was slow,service,service,negative
9870,The service was quick,service,service,positive
9871,Design looks premium,design,design,positive
9872,Camera quality is great,camera,camera,positive
9873,Design looks premium,design,design,positive
9874,Camera quality is great,camera,camera,positive
9875,Delivery was fast,delivery,delivery,positive
9876,Price is too high,price,price,negative
9877,Battery life is excellent,battery,battery,positive
9878,Price is too high,price,price,negative
9879,Camera quality is great,camera,camera,positive
9880,The food was terrible,food,food,negative
9881,Performance is smooth,performance,performance,positive
9882,Design looks premium,design,design,positive
9883,Design feels cheap,design,design,negative
9884,The food was terrible,food,food,negative
9885,Performance is laggy,performance,performance,negative
9886,Battery life is excellent,battery,battery,positive
9887,The service was slow,service,service,negative
9888,Price is too high,price,price,negative
9889,Delivery was fast,delivery,delivery,positive
9890,Battery life is excellent,battery,battery,positive
9891,Performance is laggy,performance,performance,negative
9892,Delivery was late,delivery,delivery,negative
9893,Price is too high,price,price,negative
9894,Delivery was late,delivery,delivery,negative
9895,Price is reasonable,price,price,positive
9896,Delivery was late,delivery,delivery,negative
9897,Battery life is excellent,battery,battery,positive
9898,Camera is disappointing,camera,camera,negative
9899,Performance is laggy,performance,performance,negative
9900,Price is reasonable,price,price,positive
9901,The food was delicious,food,food,positive
9902,Camera quality is great,camera,camera,positive
9903,Performance is laggy,performance,performance,negative
9904,Performance is smooth,performance,performance,positive
9905,Price is reasonable,price,price,positive
9906,Price is too high,price,price,negative
9907,The service was slow,service,service,negative
9908,The service was slow,service,service,negative
9909,Battery drains quickly,battery,battery,positive
9910,Camera quality is great,camera,camera,positive
9911,Design feels cheap,design,design,negative
9912,Price is reasonable,price,price,positive
9913,Camera is disappointing,camera,camera,negative
9914,Price is reasonable,price,price,positive
9915,Delivery was late,delivery,delivery,negative
9916,Price is too high,price,price,negative
9917,Delivery was late,delivery,delivery,negative
9918,Performance is laggy,performance,performance,negative
9919,Design looks premium,design,design,positive
9920,Design looks premium,design,design,positive
9921,Price is reasonable,price,price,positive
9922,Design looks premium,design,design,positive
9923,Price is too high,price,price,negative
9924,Camera is disappointing,camera,camera,negative
9925,Price is reasonable,price,price,positive
9926,The service was quick,service,service,positive
9927,Design looks premium,design,design,positive
9928,Design feels cheap,design,design,negative
9929,Camera is disappointing,camera,camera,negative
9930,Price is too high,price,price,negative
9931,The food was delicious,food,food,positive
9932,Camera is disappointing,camera,camera,negative
9933,Performance is laggy,performance,performance,negative
9934,The food was delicious,food,food,positive
9935,Delivery was late,delivery,delivery,negative
9936,Battery life is excellent,battery,battery,positive
9937,The service was quick,service,service,positive
9938,Price is too high,price,price,negative
9939,Price is too high,price,price,negative
9940,Design looks premium,design,design,positive
9941,Camera is disappointing,camera,camera,negative
9942,Price is reasonable,price,price,positive
9943,Battery drains quickly,battery,battery,positive
9944,Battery drains quickly,battery,battery,positive
9945,Battery life is excellent,battery,battery,positive
9946,Camera is disappointing,camera,camera,negative
9947,Battery drains quickly,battery,battery,positive
9948,Design feels cheap,design,design,negative
9949,Performance is laggy,performance,performance,negative
9950,Delivery was fast,delivery,delivery,positive
9951,Price is reasonable,price,price,positive
9952,The food was delicious,food,food,positive
9953,Delivery was late,delivery,delivery,negative
9954,Design looks premium,design,design,positive
9955,The food was terrible,food,food,negative
9956,Camera is disappointing,camera,camera,negative
9957,The food was delicious,food,food,positive
9958,Delivery was fast,delivery,delivery,positive
9959,Battery drains quickly,battery,battery,positive
9960,Performance is laggy,performance,performance,negative
9961,Performance is laggy,performance,performance,negative
9962,Camera quality is great,camera,camera,positive
9963,Battery life is excellent,battery,battery,positive
9964,Price is too high,price,price,negative
9965,Performance is smooth,performance,performance,positive
9966,Performance is smooth,performance,performance,positive
9967,Performance is smooth,performance,performance,positive
9968,Camera is disappointing,camera,camera,negative
9969,Camera is disappointing,camera,camera,negative
9970,Camera quality is great,camera,camera,positive
9971,Performance is smooth,performance,performance,positive
9972,Camera quality is great,camera,camera,positive
9973,Camera quality is great,camera,camera,positive
9974,Camera quality is great,camera,camera,positive
9975,Design feels cheap,design,design,negative
9976,Camera quality is great,camera,camera,positive
9977,Battery life is excellent,battery,battery,positive
9978,The service was quick,service,service,positive
9979,Price is too high,price,price,negative
9980,Price is too high,price,price,negative
9981,Battery life is excellent,battery,battery,positive
9982,Battery life is excellent,battery,battery,positive
9983,Camera is disappointing,camera,camera,negative
9984,The service was slow,service,service,negative
9985,Camera quality is great,camera,camera,positive
9986,The service was quick,service,service,positive
9987,Delivery was late,delivery,delivery,negative
9988,Price is reasonable,price,price,positive
9989,The food was delicious,food,food,positive
9990,Price is reasonable,price,price,positive
9991,Delivery was late,delivery,delivery,negative
9992,Camera is disappointing,camera,camera,negative
9993,Performance is laggy,performance,performance,negative
9994,Delivery was fast,delivery,delivery,positive
9995,The service was slow,service,service,negative
9996,Design feels cheap,design,design,negative
9997,Price is too high,price,price,negative
9998,The service was slow,service,service,negative
9999,Performance is laggy,performance,performance,negative
10000,The service was slow,service,service,negative
10001,The service was slow,service,service,negative
10002,Price is too high,price,price,negative
10003,Delivery was late,delivery,delivery,negative
10004,Performance is smooth,performance,performance,positive
10005,Price is reasonable,price,price,positive
10006,Performance is smooth,performance,performance,positive
10007,Performance is laggy,performance,performance,negative
10008,Battery drains quickly,battery,battery,positive
10009,Price is too high,price,price,negative
10010,Delivery was fast,delivery,delivery,positive
10011,The service was slow,service,service,negative
10012,The food was delicious,food,food,positive
10013,Price is reasonable,price,price,positive
10014,The service was quick,service,service,positive
10015,Camera quality is great,camera,camera,positive
10016,The service was slow,service,service,negative
10017,The food was delicious,food,food,positive
10018,The food was delicious,food,food,positive
10019,Delivery was fast,delivery,delivery,positive
10020,The food was terrible,food,food,negative
10021,Camera is disappointing,camera,camera,negative
10022,Battery life is excellent,battery,battery,positive
10023,Design looks premium,design,design,positive
10024,The service was quick,service,service,positive
10025,Design feels cheap,design,design,negative
10026,The service was quick,service,service,positive
10027,Camera quality is great,camera,camera,positive
10028,Battery life is excellent,battery,battery,positive
10029,The food was terrible,food,food,negative
10030,Price is reasonable,price,price,positive
10031,The service was quick,service,service,positive
10032,Price is too high,price,price,negative
10033,Performance is smooth,performance,performance,positive
10034,Performance is smooth,performance,performance,positive
10035,The food was terrible,food,food,negative
10036,Price is reasonable,price,price,positive
10037,Performance is smooth,performance,performance,positive
10038,Battery life is excellent,battery,battery,positive
10039,Design looks premium,design,design,positive
10040,Camera is disappointing,camera,camera,negative
10041,Price is reasonable,price,price,positive
10042,Price is reasonable,price,price,positive
10043,Camera quality is great,camera,camera,positive
10044,Price is reasonable,price,price,positive
10045,The food was terrible,food,food,negative
10046,Design feels cheap,design,design,negative
10047,Delivery was fast,delivery,delivery,positive
10048,Battery life is excellent,battery,battery,positive
10049,Delivery was late,delivery,delivery,negative
10050,Delivery was late,delivery,delivery,negative
10051,Performance is smooth,performance,performance,positive
10052,Design looks premium,design,design,positive
10053,The service was slow,service,service,negative
10054,Performance is smooth,performance,performance,positive
10055,Performance is smooth,performance,performance,positive
10056,Battery life is excellent,battery,battery,positive
10057,Price is too high,price,price,negative
10058,Performance is laggy,performance,performance,negative
10059,The service was quick,service,service,positive
10060,Battery life is excellent,battery,battery,positive
10061,The food was delicious,food,food,positive
10062,Delivery was fast,delivery,delivery,positive
10063,Design feels cheap,design,design,negative
10064,Camera is disappointing,camera,camera,negative
10065,Price is reasonable,price,price,positive
10066,Battery life is excellent,battery,battery,positive
10067,Performance is smooth,performance,performance,positive
10068,Performance is smooth,performance,performance,positive
10069,Delivery was late,delivery,delivery,negative
10070,Battery life is excellent,battery,battery,positive
10071,The food was terrible,food,food,negative
10072,The service was slow,service,service,negative
10073,Camera quality is great,camera,camera,positive
10074,Delivery was fast,delivery,delivery,positive
10075,The food was delicious,food,food,positive
10076,Camera quality is great,camera,camera,positive
10077,Price is too high,price,price,negative
10078,The food was delicious,food,food,positive
10079,Performance is laggy,performance,performance,negative
10080,Design looks premium,design,design,positive
10081,Battery life is excellent,battery,battery,positive
10082,The food was delicious,food,food,positive
10083,Camera quality is great,camera,camera,positive
10084,Delivery was fast,delivery,delivery,positive
10085,Camera is disappointing,camera,camera,negative
10086,Delivery was fast,delivery,delivery,positive
10087,Performance is laggy,performance,performance,negative
10088,Camera quality is great,camera,camera,positive
10089,Price is too high,price,price,negative
10090,Performance is smooth,performance,performance,positive
10091,Design feels cheap,design,design,negative
10092,The food was delicious,food,food,positive
10093,Battery drains quickly,battery,battery,positive
10094,The food was delicious,food,food,positive
10095,Camera quality is great,camera,camera,positive
10096,The food was delicious,food,food,positive
10097,Delivery was fast,delivery,delivery,positive
10098,Design feels cheap,design,design,negative
10099,Battery life is excellent,battery,battery,positive
10100,Delivery was late,delivery,delivery,negative
10101,Camera quality is great,camera,camera,positive
10102,Battery life is excellent,battery,battery,positive
10103,Price is reasonable,price,price,positive
10104,Design looks premium,design,design,positive
10105,The food was delicious,food,food,positive
10106,Delivery was late,delivery,delivery,negative
10107,Battery drains quickly,battery,battery,positive
10108,The service was slow,service,service,negative
10109,Delivery was late,delivery,delivery,negative
10110,The food was delicious,food,food,positive
10111,The food was terrible,food,food,negative
10112,Performance is laggy,performance,performance,negative
10113,Design looks premium,design,design,positive
10114,Price is reasonable,price,price,positive
10115,Camera quality is great,camera,camera,positive
10116,The service was slow,service,service,negative
10117,The service was quick,service,service,positive
10118,Delivery was fast,delivery,delivery,positive
10119,Battery life is excellent,battery,battery,positive
10120,Design feels cheap,design,design,negative
10121,Performance is smooth,performance,performance,positive
10122,Performance is laggy,performance,performance,negative
10123,Price is too high,price,price,negative
10124,Camera quality is great,camera,camera,positive
10125,Camera quality is great,camera,camera,positive
10126,Performance is smooth,performance,performance,positive
10127,Delivery was late,delivery,delivery,negative
10128,Performance is laggy,performance,performance,negative
10129,Design looks premium,design,design,positive
10130,The service was slow,service,service,negative
10131,Design looks premium,design,design,positive
10132,Design looks premium,design,design,positive
10133,Battery life is excellent,battery,battery,positive
10134,Camera is disappointing,camera,camera,negative
10135,Design looks premium,design,design,positive
10136,Delivery was late,delivery,delivery,negative
10137,Design looks premium,design,design,positive
10138,The service was slow,service,service,negative
10139,Design feels cheap,design,design,negative
10140,Battery life is excellent,battery,battery,positive
10141,Battery life is excellent,battery,battery,positive
10142,Performance is smooth,performance,performance,positive
10143,Delivery was late,delivery,delivery,negative
10144,The food was delicious,food,food,positive
10145,Performance is smooth,performance,performance,positive
10146,Design looks premium,design,design,positive
10147,Camera is disappointing,camera,camera,negative
10148,Design feels cheap,design,design,negative
10149,Battery drains quickly,battery,battery,positive
10150,Camera quality is great,camera,camera,positive
10151,Delivery was late,delivery,delivery,negative
10152,Delivery was fast,delivery,delivery,positive
10153,Camera is disappointing,camera,camera,negative
10154,Design looks premium,design,design,positive
10155,Performance is smooth,performance,performance,positive
10156,Price is reasonable,price,price,positive
10157,Delivery was fast,delivery,delivery,positive
10158,Delivery was fast,delivery,delivery,positive
10159,Price is reasonable,price,price,positive
10160,The food was delicious,food,food,positive
10161,The food was delicious,food,food,positive
10162,Delivery was fast,delivery,delivery,positive
10163,The service was quick,service,service,positive
10164,The service was quick,service,service,positive
10165,Camera is disappointing,camera,camera,negative
10166,The service was slow,service,service,negative
10167,The service was slow,service,service,negative
10168,Delivery was fast,delivery,delivery,positive
10169,The service was slow,service,service,negative
10170,The food was delicious,food,food,positive
10171,Design looks premium,design,design,positive
10172,Design looks premium,design,design,positive
10173,Delivery was late,delivery,delivery,negative
10174,The service was slow,service,service,negative
10175,Price is reasonable,price,price,positive
10176,Camera is disappointing,camera,camera,negative
10177,Camera is disappointing,camera,camera,negative
10178,Delivery was late,delivery,delivery,negative
10179,Delivery was fast,delivery,delivery,positive
10180,Price is too high,price,price,negative
10181,Performance is laggy,performance,performance,negative
10182,Delivery was fast,delivery,delivery,positive
10183,The service was slow,service,service,negative
10184,Camera is disappointing,camera,camera,negative
10185,Price is too high,price,price,negative
10186,Camera is disappointing,camera,camera,negative
10187,Price is reasonable,price,price,positive
10188,Price is reasonable,price,price,positive
10189,Price is reasonable,price,price,positive
10190,Camera is disappointing,camera,camera,negative
10191,Price is reasonable,price,price,positive
10192,Battery life is excellent,battery,battery,positive
10193,Camera quality is great,camera,camera,positive
10194,Design looks premium,design,design,positive
10195,The service was slow,service,service,negative
10196,The service was slow,service,service,negative
10197,The food was terrible,food,food,negative
10198,The service was quick,service,service,positive
10199,Camera quality is great,camera,camera,positive
10200,The food was delicious,food,food,positive
10201,Price is too high,price,price,negative
10202,Price is too high,price,price,negative
10203,Performance is laggy,performance,performance,negative
10204,Price is too high,price,price,negative
10205,Price is reasonable,price,price,positive
10206,Camera is disappointing,camera,camera,negative
10207,Design looks premium,design,design,positive
10208,Performance is smooth,performance,performance,positive
10209,Price is reasonable,price,price,positive
10210,The service was quick,service,service,positive
10211,The service was slow,service,service,negative
10212,Delivery was late,delivery,delivery,negative
10213,Camera quality is great,camera,camera,positive
10214,Price is too high,price,price,negative
10215,Camera quality is great,camera,camera,positive
10216,Performance is smooth,performance,performance,positive
10217,Performance is laggy,performance,performance,negative
10218,Battery life is excellent,battery,battery,positive
10219,The service was slow,service,service,negative
10220,Performance is smooth,performance,performance,positive
10221,Performance is laggy,performance,performance,negative
10222,Delivery was fast,delivery,delivery,positive
10223,Delivery was late,delivery,delivery,negative
10224,The service was quick,service,service,positive
10225,The service was quick,service,service,positive
10226,The service was slow,service,service,negative
10227,Performance is smooth,performance,performance,positive
10228,Battery life is excellent,battery,battery,positive
10229,Performance is smooth,performance,performance,positive
10230,Price is too high,price,price,negative
10231,Performance is laggy,performance,performance,negative
10232,Price is too high,price,price,negative
10233,Delivery was fast,delivery,delivery,positive
10234,The service was quick,service,service,positive
10235,Delivery was fast,delivery,delivery,positive
10236,Delivery was late,delivery,delivery,negative
10237,Performance is smooth,performance,performance,positive
10238,Camera quality is great,camera,camera,positive
10239,The food was delicious,food,food,positive
10240,Battery drains quickly,battery,battery,positive
10241,Performance is laggy,performance,performance,negative
10242,The food was delicious,food,food,positive
10243,Price is reasonable,price,price,positive
10244,Delivery was late,delivery,delivery,negative
10245,Design looks premium,design,design,positive
10246,Delivery was late,delivery,delivery,negative
10247,Battery life is excellent,battery,battery,positive
10248,Battery life is excellent,battery,battery,positive
10249,Delivery was late,delivery,delivery,negative
10250,Design feels cheap,design,design,negative
10251,Performance is smooth,performance,performance,positive
10252,Camera quality is great,camera,camera,positive
10253,Camera is disappointing,camera,camera,negative
10254,Design looks premium,design,design,positive
10255,Performance is smooth,performance,performance,positive
10256,Performance is smooth,performance,performance,positive
10257,Performance is smooth,performance,performance,positive
10258,Camera quality is great,camera,camera,positive
10259,Battery drains quickly,battery,battery,positive
10260,Camera quality is great,camera,camera,positive
10261,Design looks premium,design,design,positive
10262,Delivery was late,delivery,delivery,negative
10263,Performance is laggy,performance,performance,negative
10264,The food was delicious,food,food,positive
10265,Camera quality is great,camera,camera,positive
10266,The food was delicious,food,food,positive
10267,Battery drains quickly,battery,battery,positive
10268,The food was delicious,food,food,positive
10269,Battery drains quickly,battery,battery,positive
10270,Performance is smooth,performance,performance,positive
10271,Camera is disappointing,camera,camera,negative
10272,Delivery was late,delivery,delivery,negative
10273,The food was terrible,food,food,negative
10274,The food was delicious,food,food,positive
10275,Delivery was fast,delivery,delivery,positive
10276,Performance is smooth,performance,performance,positive
10277,Battery drains quickly,battery,battery,positive
10278,Battery life is excellent,battery,battery,positive
10279,The service was quick,service,service,positive
10280,Camera is disappointing,camera,camera,negative
10281,Performance is smooth,performance,performance,positive
10282,Performance is smooth,performance,performance,positive
10283,Design looks premium,design,design,positive
10284,Camera is disappointing,camera,camera,negative
10285,Design looks premium,design,design,positive
10286,Price is reasonable,price,price,positive
10287,Delivery was fast,delivery,delivery,positive
10288,Battery drains quickly,battery,battery,positive
10289,Camera is disappointing,camera,camera,negative
10290,The food was terrible,food,food,negative
10291,Design feels cheap,design,design,negative
10292,Price is too high,price,price,negative
10293,Delivery was late,delivery,delivery,negative
10294,The service was quick,service,service,positive
10295,Price is too high,price,price,negative
10296,Performance is laggy,performance,performance,negative
10297,Design looks premium,design,design,positive
10298,Design looks premium,design,design,positive
10299,The food was terrible,food,food,negative
10300,Camera is disappointing,camera,camera,negative
10301,Price is too high,price,price,negative
10302,Delivery was late,delivery,delivery,negative
10303,Battery life is excellent,battery,battery,positive
10304,Price is too high,price,price,negative
10305,Delivery was fast,delivery,delivery,positive
10306,The food was delicious,food,food,positive
10307,Camera is disappointing,camera,camera,negative
10308,Performance is smooth,performance,performance,positive
10309,Delivery was fast,delivery,delivery,positive
10310,Price is reasonable,price,price,positive
10311,Design looks premium,design,design,positive
10312,Design feels cheap,design,design,negative
10313,The food was terrible,food,food,negative
10314,Design feels cheap,design,design,negative
10315,The service was slow,service,service,negative
10316,Camera quality is great,camera,camera,positive
10317,Battery life is excellent,battery,battery,positive
10318,Camera is disappointing,camera,camera,negative
10319,The service was quick,service,service,positive
10320,Delivery was fast,delivery,delivery,positive
10321,Delivery was late,delivery,delivery,negative
10322,Camera quality is great,camera,camera,positive
10323,Price is too high,price,price,negative
10324,Battery life is excellent,battery,battery,positive
10325,Camera is disappointing,camera,camera,negative
10326,Design looks premium,design,design,positive
10327,Camera is disappointing,camera,camera,negative
10328,Camera is disappointing,camera,camera,negative
10329,Price is reasonable,price,price,positive
10330,Battery life is excellent,battery,battery,positive
10331,Camera is disappointing,camera,camera,negative
10332,The service was quick,service,service,positive
10333,Delivery was late,delivery,delivery,negative
10334,The service was slow,service,service,negative
10335,Delivery was late,delivery,delivery,negative
10336,Design feels cheap,design,design,negative
10337,Price is too high,price,price,negative
10338,Delivery was fast,delivery,delivery,positive
10339,Battery life is excellent,battery,battery,positive
10340,Price is too high,price,price,negative
10341,Price is reasonable,price,price,positive
10342,Performance is smooth,performance,performance,positive
10343,Design feels cheap,design,design,negative
10344,Price is too high,price,price,negative
10345,Delivery was late,delivery,delivery,negative
10346,Design looks premium,design,design,positive
10347,Performance is smooth,performance,performance,positive
10348,Performance is smooth,performance,performance,positive
10349,Design looks premium,design,design,positive
10350,Camera quality is great,camera,camera,positive
10351,The service was slow,service,service,negative
10352,Performance is laggy,performance,performance,negative
10353,Delivery was fast,delivery,delivery,positive
10354,The service was slow,service,service,negative
10355,Delivery was fast,delivery,delivery,positive
10356,Price is too high,price,price,negative
10357,Price is too high,price,price,negative
10358,Camera is disappointing,camera,camera,negative
10359,The food was delicious,food,food,positive
10360,Camera is disappointing,camera,camera,negative
10361,Delivery was fast,delivery,delivery,positive
10362,The service was slow,service,service,negative
10363,Performance is laggy,performance,performance,negative
10364,The food was delicious,food,food,positive
10365,The service was quick,service,service,positive
10366,Delivery was fast,delivery,delivery,positive
10367,Camera quality is great,camera,camera,positive
10368,Performance is smooth,performance,performance,positive
10369,Design feels cheap,design,design,negative
10370,The food was delicious,food,food,positive
10371,Design looks premium,design,design,positive
10372,Performance is smooth,performance,performance,positive
10373,Delivery was late,delivery,delivery,negative
10374,The service was quick,service,service,positive
10375,The food was terrible,food,food,negative
10376,Performance is laggy,performance,performance,negative
10377,Camera quality is great,camera,camera,positive
10378,Delivery was fast,delivery,delivery,positive
10379,Design feels cheap,design,design,negative
10380,Delivery was late,delivery,delivery,negative
10381,Performance is laggy,performance,performance,negative
10382,Delivery was late,delivery,delivery,negative
10383,Performance is laggy,performance,performance,negative
10384,The food was delicious,food,food,positive
10385,The food was delicious,food,food,positive
10386,The food was delicious,food,food,positive
10387,The food was delicious,food,food,positive
10388,Delivery was late,delivery,delivery,negative
10389,The service was quick,service,service,positive
10390,Battery drains quickly,battery,battery,positive
10391,The service was slow,service,service,negative
